lat	lng	mag	time
31.63620641	-103.9881571	2.2	1668636305598
32.8251667	-115.6125	1.41	1668636197820
33.3233333	-116.3395	1.18	1668636163420
38.8269997	-122.788002	0.88	1668636098150
31.63447804	-103.9896289	2.6	1668636064256
31.61017956	-103.9712269	2.4	1668635862580
35.9766667	-117.3233333	1.66	1668635734910
31.62852652	-103.9826069	2.5	1668635522421
31.63358196	-103.9826298	2	1668635224478
31.60882457	-103.9636898	2.6	1668635163596
31.6224852	-104.0024862	2	1668635060149
31.61834703	-103.9681694	3.4	1668634829772
31.6365363	-103.992598	2.8	1668634785025
31.63425093	-103.9888208	2.6	1668634590788
64.3679	-147571	1.4	1668634496864
31.6367452	-103.9987871	5.4	1668634364481
33.5366667	-116.5215	0.47	1668634315680
46.2631683349609	-120.601501464844	1.55360901355743	1668634311920
44.6571667	-110.0206667	0.68	1668634144680
44.7333333	-110.0273333	0.79	1668633867500
44.8058333	-110.7908333	-0.01	1668633812840
19.1119995117188	-155.414169311523	2.13000011	1668633726950
38.800499	-122.7955017	0.86	1668633337700
51.9065	-176256	1.64	1668633271040
35903	-117.7403333	0.78	1668633258170
37.0048333	-119.8185	1.73	1668633249150
60044	-152.7767	1.7	1668633020790
63.1024	-151496	1.6	1668632955486
38.7746658	-122.7211685	0.54	1668632877840
19.2163333892822	-155.394165039062	2.02999997	1668632348510
65.4759	-145025	2	1668631396225
38.8196678	-122.7986679	0.84	1668631210070
34.3385	-116.8465	1.21	1668630946580
-5.0835	133.9727	4.8	1668630805595
19.4483337402344	-155.22900390625	1.94	1668630713050
63.6189	-148.0527	3.6	1668630420362
47023	-123.3575	1.7	1668630142930
34.9833333	-118.1981667	1.4	1668629397720
19.2478332519531	-155.844833374023	1.88999999	1668628624120
19.4845	-155.594333333333	2.17	1668628518500
38.8330002	-122.8069992	1.21	1668628115090
37.9900017	-122.4473343	1.34	1668627460220
61.9501	-150.6828	1.3	1668626539749
34.41216667	-96.8825	1.58	1668626162690
35.6325	-117.5805	0.96	1668626057890
19.1801662445068	-155.497833251953	1.80999994	1668625658750
31.63339897	-104.0029415	2.1	1668624159614
34.8606667	-118.7931667	1.36	1668623976690
65.4538	-145.01	1.9	1668622945883
-4.7392	100.7486	4.5	1668622920717
65.3069	-145.0698	1.6	1668622756661
59.4262	-135.9196	2.4	1668621883580
58.2403333333333	-155086	0.05	1668621738650
19458	-155.607333333333	2.21	1668621620730
63.1975	-150.4313	1.6	1668621515467
38.7963333	-122.7300034	1.12	1668621251640
37009	-116227	0.6	1668621079312
35.4958333	-118.3975	1.75	1668620799070
39005	-123.3295	0.82	1668620713270
38.7615013	-122.7346649	0.85	1668620612770
34401	-96.89066667	1.41	1668620439359
18.0245	-66.7893333333333	2.5	1668620324070
38.8283333	-122.8005	0.26	1668619468470
35.8898333	-117.6943333	0.77	1668619291000
59.8523	-152.8665	1.7	1668619247801
19.4249992370605	-155.623168945312	1.92999995	1668619185650
51853	-177921	1.43	1668618725570
61.7454	-149776	1.3	1668618523565
42.2103333	-111.0905	1.5	1668618132800
61.8856	-149.2494	1.5	1668617955977
19.4056663513184	-155.612335205078	1.85000002	1668617861800
64.3692	-147.5744	2.2	1668617811714
17.8913333333333	-66.8603333333333	2.27	1668617657800
42.2128333	-111085	2.46	1668617555370
38.8343315	-122.8180008	0.36	1668616844240
33.96	-116.7386667	0.95	1668616738750
19.2783333333333	-155.416666666667	2.43	1668616599700
17.9678333333333	-66.9513333333333	2.76	1668616480310
39.0009995	-123.3401642	1.48	1668616211680
-23.6129	-69.3626	4.4	1668616175941
38.8171654	-122.7961655	1.15	1668616112580
19.4491666666667	-155.6155	2.38	1668616011370
36.0835	-117.8808333	1.15	1668615809570
19.4753333333333	-155.579666666667	1.8	1668615540370
38.4271667	-112.8413333	0.89	1668615222160
56.2591	-149448	3.1	1668614645011
37.3895	-119991	1.2	1668614600430
31.9016	76.9675	4.5	1668614573991
36.0815	-117.8848333	1.33	1668614066030
38.8098335	-122.7811661	0.84	1668613451980
19.4091666666667	-155.3215	2.06	1668613119110
42.2193333	-111.0966667	1.5	1668612691310
17.9653333333333	-66.8286666666667	2.24	1668612420910
42.2226667	-111.0945	1.42	1668611773150
22403	121.1695	4.7	1668611261450
60.3213	-142.3501	1	1668611065083
22388	121.1981	4.5	1668610927277
18.8208333333333	-155.025333333333	2.4	1668610811850
19.1690006256104	-155.451507568359	2.1400001	1668610529050
42225	-111091	1.55	1668609605870
-20.6803	-177.6475	4.5	1668608610763
32.22930908	-103.0860566	2.1	1668608538532
38.8326683	-122.8021698	1.17	1668607665900
16.2328	-94.9874	4	1668607255132
53.3931666666667	-168184	-0.26	1668606913060
62.6256	-151.2845	1.2	1668606596227
37.0404	-117.4427	0.5	1668606594506
33939	-117.9281667	1.23	1668606575940
47.2851	-114.1267	3.7	1668606464447
65.7806	-155.4012	2.1	1668606447799
63.0924	-151.4369	1.4	1668606414544
64651	-149252	1	1668605013121
46577	-122.489666666667	0.76	1668604962650
38.8246651	-122.7988358	0.84	1668604927680
40.0188	-120.7961	1.1	1668604488680
39.1938	-120.4314	0.5	1668603411709
42204	-111.0863333	1.63	1668603056230
34.0473333	-117.2388333	1.04	1668602788780
42.2113333	-111.0866667	1.53	1668602612210
42.2016667	-111.0863333	1.57	1668602010440
35756	-117581	1.85	1668601398820
47.3158333333333	-121989	0.87	1668601138480
59.3875	-152.87	1.5	1668600872051
19.3636665344238	-155.419326782227	1.73000002	1668600806740
41.9659	-119.5429	0.9	1668600452204
38.8380013	-122.8239975	0.96	1668600445770
58.5495	-153.8147	2.2	1668600303493
34794	-97.59566667	1.7	1668600012710
59.7656	-153.0804	1.9	1668599885107
60.4283333333333	-152762	-0.59	1668599441180
33.2195	-116.7493333	0.75	1668599053290
35.87633333	-97.58933333	0.87	1668598985299
40085	-119.6996	-0.2	1668598089218
35.5805	-117.3663333	1.63	1668597604590
42.2035	-111.0865	1.99	1668597496530
42211	-111088	1.77	1668597377930
51.8676666666667	-178.063833333333	0.76	1668597060660
42215	-111.0916667	1.64	1668596877590
42215	-111.0863333	1.64	1668596128840
6.0962	-82.4965	4.4	1668596007646
42.2056667	-111.0835	2	1668595906660
42217	-111.0898333	1.94	1668595834730
19.1770000457764	-155.396667480469	1.95000005	1668595630560
42.2298333	-111.0918333	1.07	1668595410720
42.2136667	-111.0926667	1.58	1668595376220
42.2043333	-111.0868333	1.41	1668595182080
42.2121667	-111.0933333	1.88	1668594987500
42214	-111091	3.04	1668594590960
42.2158333	-111.0901667	2.6	1668594008970
42186	-111.0863333	1.11	1668593778380
42.1941667	-111.0953333	1.17	1668593741670
57.7932	-157.3564	2	1668593502986
42.2153333	-111.0898333	1.78	1668593258530
33.2223333	-116.7551667	1.47	1668593218150
36531	-98.96666667	0.92	1668592801379
42.2126667	-111091	3.57	1668592734140
33.2308333	-116028	1.53	1668592290630
-60675	-29.3781	4.7	1668592221891
42217	-111.0993333	1.74	1668592029390
42.2076667	-111.0896667	2.97	1668591718110
38.8276672	-122.7898331	0.85	1668591657860
