"package","declared","declared_recursive","without_base","without_base_recursive","without_installed","without_installed_recursive","reverse","reverse_recursive","badge_url"
"MazamaCoreUtils",9,90,9,84,9,84,2,2,"https://img.shields.io/badge/dependencies-9/84-orange?style=flat"
"MazamaLocationUtils",13,134,12,127,12,122,0,0,"https://img.shields.io/badge/dependencies-12/122-red?style=flat"
"MazamaSpatialUtils",15,82,14,75,14,70,2,2,"https://img.shields.io/badge/dependencies-14/70-red?style=flat"
"mazealls",1,2,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"mazeGen",2,11,1,5,1,3,0,0,"https://img.shields.io/badge/dependencies-1/3-green?style=flat"
"mazeinda",1,4,1,3,1,2,0,0,"https://img.shields.io/badge/dependencies-1/2-green?style=flat"
"MBA",1,1,1,1,1,1,10,18,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"mbbefd",7,20,6,13,5,9,0,0,"https://img.shields.io/badge/dependencies-5/9-orange?style=flat"
"MBC",2,11,2,5,1,2,0,0,"https://img.shields.io/badge/dependencies-1/2-green?style=flat"
"MBCbook",4,14,4,8,3,5,0,0,"https://img.shields.io/badge/dependencies-3/5-green?style=flat"
"MBCluster.Seq",0,0,0,0,0,0,1,1,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mbclusterwise",5,21,4,14,4,10,0,0,"https://img.shields.io/badge/dependencies-4/10-green?style=flat"
"mbend",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"MBESS",12,41,9,32,6,27,11,12,"https://img.shields.io/badge/dependencies-6/27-orange?style=flat"
"mbest",6,27,6,19,5,13,0,0,"https://img.shields.io/badge/dependencies-5/13-orange?style=flat"
"MBHdesign",7,24,5,16,3,10,0,0,"https://img.shields.io/badge/dependencies-3/10-green?style=flat"
"MBI",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mbir",5,12,2,5,2,3,0,0,"https://img.shields.io/badge/dependencies-2/3-green?style=flat"
"mblm",0,0,0,0,0,0,2,2,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"MBmca",2,40,2,33,2,30,1,1,"https://img.shields.io/badge/dependencies-2/30-green?style=flat"
"MBNMAdose",12,53,8,45,8,43,0,0,"https://img.shields.io/badge/dependencies-8/43-orange?style=flat"
"MBNMAtime",11,46,7,38,7,36,0,0,"https://img.shields.io/badge/dependencies-7/36-orange?style=flat"
"mboost",14,20,7,12,4,8,13,13,"https://img.shields.io/badge/dependencies-4/8-green?style=flat"
"mboxr",8,39,8,32,8,30,1,1,"https://img.shields.io/badge/dependencies-8/30-orange?style=flat"
"mbrglm",2,2,2,2,2,2,0,0,"https://img.shields.io/badge/dependencies-2/2-green?style=flat"
"MBSGS",5,20,5,13,3,8,0,0,"https://img.shields.io/badge/dependencies-3/8-green?style=flat"
"MBSP",5,16,5,10,3,7,0,0,"https://img.shields.io/badge/dependencies-3/7-green?style=flat"
"mbsts",5,18,5,11,3,8,0,0,"https://img.shields.io/badge/dependencies-3/8-green?style=flat"
"mBvs",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mc.heterogeneity",3,10,1,4,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"mc2d",5,6,1,1,1,1,14,22,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"MC2toPath",1,1,1,1,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"MCAvariants",5,56,3,48,3,43,0,0,"https://img.shields.io/badge/dependencies-3/43-green?style=flat"
"MCBackscattering",0,0,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mcBFtest",2,6,1,1,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mcbiopi",1,1,0,0,0,0,0,0,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mcc",0,0,0,0,0,0,2,2,"https://img.shields.io/badge/dependencies-0/0-brightgreen?style=flat"
"mcca",8,111,7,102,4,91,0,0,"https://img.shields.io/badge/dependencies-4/91-green?style=flat"
"mccf1",2,61,2,53,2,47,0,0,"https://img.shields.io/badge/dependencies-2/47-green?style=flat"
"mcclust",1,1,1,1,1,1,5,6,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
"mccmeiv",3,12,3,5,1,1,0,0,"https://img.shields.io/badge/dependencies-1/1-green?style=flat"
